France,Luxembourg,Netherlands,Germany,Italy,United Kingdom,Ireland,Denmark,Greece,Portugal,Spain,Sweden,Finland,Austria,Malta,Estonia,Latvia,Lithuania,Poland,Czech Republic,Slovakia,Hungary,Slovenia,Cyprus,Bulgaria,Romania,Croatia,Iceland,Norway,Switzerland,Turkey,Ukraine,Russia,Other European countries
1342.8,48.5,1671.7,1692.3,343.7,615,48,55.4,8.5,47.6,157.6,229.7,53.8,46.2,2.6,2.3,0.9,3.5,32.2,14.9,4.1,32.6,4.5,0.6,2.9,8.8,1.5,2.3,51.1,76.5,17.7,6,96.8,4.3
1334.8,56.9,1689.8,1767.2,390.5,757.5,55.8,57.2,11,43.3,172.2,254.5,52.9,53.1,2.2,0.9,0.8,4,26.5,23.3,7.7,20.4,5.5,2.1,5,6.9,2.4,1.9,47.1,107,26,5.3,70.1,6.9
1390.2,58.3,1723.8,1835.9,413.9,903.7,48.5,56.1,12.6,54.4,172.7,253.7,47.2,50.8,3,1.7,0.2,2.9,23.4,19.8,6,26.1,4.6,1.1,3.7,7.5,3.6,2,62.2,89.5,22.3,5.1,55.5,5.5
1497,66.3,1978.6,1900,435.5,952.8,60.3,63.3,12.8,56.4,182.6,273,53.8,54.4,3.3,4,0.9,6.2,29.2,19.2,6.2,26.4,4.3,0.8,4,8,2.2,1.8,60.3,94.4,18.2,4.8,77.1,5.4
1427,63.4,1736.2,1759.7,365.2,723.8,51.8,58.7,9.1,48.4,175.7,268,62.7,54.7,3.5,3.9,1.7,11.2,26,19.8,6.3,28.6,5.9,3.1,5.7,9.4,2.8,1.4,65.6,99.9,21.1,1.3,85.2,4.1
1424.3,59.8,1753.9,1701.7,399,888.1,53,60.4,8.7,48.7,172.6,256,58.5,53.8,2.8,1.7,2.1,10,25.2,27.8,6.1,28.9,5,9.9,2.1,13,2.5,1.5,63.8,127,21.9,1.4,76.3,4.5
1436.2,61.7,1823.6,1731.9,387.3,894.2,53.4,63.3,13.6,57.7,180.8,278,56,55.8,2.3,2.7,3.3,7.5,35.2,20.8,5.7,24.9,4.9,8.6,3.3,7.9,2.2,1.3,54,62.7,21.8,3.5,93,4
1207.7,55.2,1539.4,1461.6,397,757,56.4,47.8,11.1,47.9,149.6,122.7,45,57.9,3.3,2.8,2.8,3.5,31.9,16.3,6.7,27.9,5.1,0.3,2.9,9,1.6,1.1,66,108.4,24.3,8.1,60.2,2.7
1122.6,51.1,1675.6,1468.5,292.2,697.8,49.2,65.5,7,40.3,132.3,239.9,44.7,45.9,2,3.5,2.7,2.5,31.1,14.4,6.9,25.4,4.4,0.1,3.8,9,1.5,0.8,70.6,75.1,19.2,2.2,70.5,3
1530.3,64.5,1952.7,1805.9,397.3,831.4,102.5,64.7,14.3,48.1,173.8,269.9,51,65.2,3,1.7,6.6,5.1,27.6,19.4,6.5,22.6,5.5,0.2,4.7,7.3,2.2,1.6,78.3,82.6,24,2.6,77.8,5.7
1605.5,67.1,2000.9,1906.7,431.6,853,58.6,58.7,18.3,56.7,215.7,285.5,57.6,60.9,3.4,2.8,1.8,9.2,27.7,24.6,7,32.6,6.9,0.4,4.5,7.5,2.6,1.4,82.3,111.5,27.9,4.2,95.6,5.5
1398.2,61.7,1707.8,1736.9,365,756.4,56.4,53.9,10.1,58.4,168.4,249.1,55.1,53.8,3.7,3.7,2.7,4.4,35.7,24.2,9.1,23.1,5.4,0.3,4.2,8,2.3,1.5,90,100.8,21.3,4,94.2,4.7
1445.1,56.6,2021.1,1673.4,371.1,822.2,58.4,60,10.6,57.6,173.4,247.7,51.1,67.3,4.5,1.7,13.1,10.7,24.6,34.8,6.6,22.1,7.9,0.6,5.1,10.3,2.6,1.2,76.7,96.4,19.4,7.9,104.6,5
1330.5,57.6,1886.6,1640.2,362.2,896.7,58.9,53.2,10,52.3,180.4,258.7,51.4,50.7,2.4,3,5.7,5.4,29.2,20.3,5.1,28.4,5.1,1.7,2.9,9.7,1.9,1.1,83.3,103.7,26.3,3.3,111.9,4.8
1389,57,1890.3,1756.9,420.2,995.5,59.5,70.2,10.7,63.5,198.8,262.9,44,71.9,3,3,2.5,7.9,27,21.5,6.8,29.4,9.7,0.7,5.5,8.6,2.5,1.2,75.1,112.1,23.5,14,61.6,6.6
1461.3,63.1,2062.7,1948.6,430.6,1024,100.3,63.5,20.2,58.7,187.4,287.8,48.5,74.8,3.1,3.4,8.5,6.9,35.9,28.1,11.2,29.2,6.8,1.5,6.8,9.5,3.9,1.2,81.2,107.8,26.4,4.8,90.6,7.6
1548.2,72.3,1882.4,1952.7,407.6,1000,76.9,72,10.3,70.2,200,306.7,45.2,69.1,2.9,4,4.1,3.8,35.8,27.2,13,34.9,14,0.6,4.9,10.2,12.7,1.6,84.6,126.4,29.1,3.6,74.9,5.4
1486.2,58.5,1869.1,1682.1,385.7,956.4,61.7,61.4,9.2,68.1,191.9,257,41,54.4,3.7,7.3,1.4,6.5,33.2,27.9,11.3,29.4,8.3,1,3.8,6,2.2,1.4,57.9,115,25.6,3,75.1,4.6
1535.7,64,2027.6,1955.8,425.1,1009.9,104.3,67.2,8.9,62.3,220.7,288.6,41,72.2,4.1,4.1,5.5,5.9,32.3,38.8,10.9,36.2,6.6,0.3,4.4,7.8,2.2,1.7,72.7,118.5,28.5,1,94.2,6.8
1345.2,56.7,1760.1,1583.9,447.2,892.7,77.1,54.2,10.9,72,161.4,148.3,31.1,66,3.9,7.9,4,3.3,33.3,33.7,6.7,30.8,5.7,0.4,5.4,8.1,1.9,1.4,65.4,93,26.7,13.8,65.1,4.1
1091.2,56.3,1758.5,1511.7,282.5,900.8,75.7,54.7,6.2,44.8,113.3,205.3,36.6,56.8,2.4,1.2,1.4,5.4,33.8,21.5,9.6,17.8,4.9,3.7,4.4,11.5,1.9,1.2,56.3,79.4,34.1,1.7,76.3,4.4
1553.8,57.8,2106.6,1933.8,427.6,932.9,86.5,73.5,10.3,44.5,177.8,302.9,42.7,72.7,3.6,2.3,7.4,5.2,39,31.6,7.9,37.6,7,0.1,4.2,17,3.5,1.3,74.1,106.8,31.4,2.5,83.5,4.7
1602.2,75,2179.4,1918.4,440.6,976.3,85.6,61.6,10.1,61,218.7,285.5,44.3,70.6,3.8,6.3,6.7,7.9,42.2,32.3,9.9,32.9,8,0.2,8.5,10.6,2.6,0.9,79.1,123,33.8,3.3,160.7,11.2
1345.2,64.4,1972.6,1776,427,830.3,86.4,61.2,10.2,68.8,181.9,335.7,44.3,60.3,4.6,2.6,2,2.6,41,35.2,9.4,35.3,6.9,0.3,7.1,10.6,3,0.6,68.4,84.1,33.6,5.8,97.3,3.9
1652.6,67.8,2261.6,1775.8,434,947.9,88.1,63.7,13.3,55.1,195.4,269.6,45.3,59.1,2.7,5.1,1.2,3.7,42.6,33.3,10.1,33.3,10.1,0.4,5.1,13.6,3.2,1.2,81.8,114,34,6.4,114.9,22
1434.6,56.4,1932,1662.9,383.1,890,78.9,60.8,10.6,58.6,180.8,294.4,44.4,56.6,3.5,1.7,1.4,6.7,47.1,28.8,7.3,39.7,4.5,1,4.9,5.9,4,0.7,92.9,81.9,35.5,5.9,74.6,7.4
1521.1,65.7,1969.7,1875.5,469.2,1021.8,82.5,67.7,14.7,68.2,221,292.6,48.9,75.6,4.8,2.3,1.5,5.7,49.1,34.4,9.1,40.9,4.4,2.3,13,13.3,3.1,0.9,81.1,104.3,34.9,3.7,53.6,4.1
1642.4,66,2146.8,2120.1,499.6,909.8,91.1,73.2,13,61.9,258.7,344.4,49.4,73.5,4.7,3.5,2.6,5.4,46.2,37.2,11.3,52.2,5.4,2.9,15.2,19.7,4.3,1.1,79.8,109.6,41.8,3.9,69,5.7
1561.8,62.7,1963.3,2045.7,435.8,958.8,81.6,58.7,11.2,82.2,203.8,287.4,50.8,75.5,4.5,3.5,1.6,3.5,45.6,36.9,11.5,39.2,5.9,6.2,14.3,13.6,4.3,1,78.9,94.7,32.8,2.6,61.4,6.1
1380.9,59.9,1848.9,1894.1,477.1,833.3,81.3,54.9,10.2,67.5,198.4,295.4,41.5,73.4,3.9,3.3,1.5,3.6,45.5,31.4,10,32.3,5.5,6.7,18.8,9.3,4.7,0.8,59.2,84.1,35,2.3,72.2,3.6
1600.8,62.1,1983.3,2076.3,471.9,1115.3,90.6,72.9,10.3,72.9,235.6,306.4,49.4,81.8,4.1,2.4,1.8,4.9,47.5,42.5,10.8,48.6,7,1,15.8,11.3,3.3,1.3,70.8,133.3,40.2,1.7,77.6,5.7
1370.6,51.6,1734.9,1809.6,460.8,926.8,92.3,57.9,8,62.3,193.2,174.5,38,61.1,4.6,1.1,1.2,7.1,46.7,38.5,9.4,61.9,7,0.3,12.6,12.5,1.9,1.6,62.4,94.1,46.9,4.5,95.1,4.2
1262,64.6,1673.2,1807.8,290.7,805.4,68.5,63.5,10.4,56.8,147.3,267.9,43.7,58.6,2.5,3.1,2.7,5.2,43.3,29.1,8.3,30.2,5.9,0.2,8.7,15.2,4.8,0.6,45.1,76.6,34.7,1.9,54.8,6.5
1595.9,66,2030.9,2039.3,428.6,978.7,100.3,81.8,11.1,70.1,218,352.1,50.3,82.2,3.6,1.8,3.2,4.3,47.7,38.4,10.6,51.5,7,0.3,6.3,15,4.2,0.8,62.5,99.1,36.2,4,67.1,4.9
1640.7,64.8,1957.9,2019.9,448.4,890.1,107.6,65.4,9.3,68.4,200.9,332.6,46.6,75,3.1,2.2,2.4,4.9,48.6,36.5,10.2,68.8,8.6,0.1,11.6,11.5,2.9,0.8,57,115.8,40.8,9.2,50.3,6.9
1540.6,65.6,1852.3,1947.9,429.1,813.6,101.4,70.7,12.2,73,221.2,333.5,47.8,69.7,4.6,1.8,1.9,3.6,50.5,34.4,10.5,62.8,8.5,0.2,7.9,9,3,0.8,64.7,97.7,34.5,9.4,59.9,6.4
1651.9,71.4,1991,1917.1,432.5,818.2,86,68.5,8.2,59.1,211.7,264.3,46.3,66.4,3,1.9,2.8,5.9,45.6,36,9.8,60.7,7,0.3,14.3,12.4,7.1,0.9,69.5,85.9,34,3.3,72.3,7
1378.5,56.2,1653.3,1674.1,398.5,837.1,81.1,56.9,11.1,79.2,188,235.7,43,52.8,3.2,1.8,1.5,8.3,49.7,27.6,14.6,45.8,6.6,2.8,8.2,7.7,3.1,0.7,79.3,81.3,36.2,3.8,44.6,6
1549.9,47,1730.7,1771.3,435.4,913.6,84.3,58.9,10,73.3,229.9,282.8,58.4,60.1,4.9,1.7,4.8,5.8,49.6,30.5,11.1,57.6,6.3,0.4,14.6,11.5,3,0.6,59.1,89.9,30.6,3,55.4,5.7
1711.1,73.3,2142.2,2140.7,492.2,1078.4,93.8,70.7,10.3,98.6,246.8,335.6,81,78.5,3.3,1.9,1.9,6.9,51.6,41.6,19.4,63.9,7.4,3.2,16.1,12.1,4.3,0.7,63.3,103.1,46.4,4,55.8,7.8
1517.9,61.1,1924,1910.5,419.1,728.4,99.6,64.1,10.2,84.4,247,285.1,43.6,64.7,4.1,3.4,1.9,7.7,47.1,38.5,12.9,49.9,6.1,4,17,9.8,2.5,1.1,67.8,101,33.7,5.6,87.8,5.1
1425.2,57.9,1780.7,1750.7,389.4,975.9,90.8,58.9,9.2,83.7,252.5,274.1,45.9,56.8,3.3,2.4,1.6,6.6,52.4,36.3,18.9,60,7.8,8.2,14.1,10.6,8.5,1,49.1,91.9,33.5,5.6,50.8,6
1709.2,78.8,2091,2060.5,465,1087.6,98.3,83.2,12.9,91.9,246,305.5,49.4,78.7,4.3,3.2,1.6,7.6,48.2,38.8,11.5,69,8.3,0.7,29.8,12.7,3.7,1.2,46.1,115.8,48.2,5.6,58.1,8.4
1394.7,48.9,1723.9,1574.6,430.2,921.7,81.5,54.4,8.8,80,205.6,171,34.9,51.6,4.4,2.9,2.6,8.1,46.3,28,12.2,43.6,6.4,0.2,30.3,11.6,4.4,1.3,56.2,102.9,34.4,10.8,88.9,5.3
1352,58.3,1849.3,1791.2,313.5,956.3,70.9,57.3,17.1,81.6,199.6,228.4,42.2,59.7,3,4.1,2,8.2,45.1,32.5,11.5,48.6,5.9,0.1,24.2,11.6,3.6,0.5,38.3,81.6,38.8,8.2,63.6,6.3
1631,76.1,2184.2,2074.2,443.7,1075.9,92.9,70.1,10,82.5,220.2,324.2,54.6,82.2,3.5,2.2,1.6,6.6,53.5,36.1,11,67.7,7.5,0.2,12.3,15.9,5.4,1.5,46.9,105.1,41,11.8,93.7,7
1691.9,68.6,2158.7,2097.7,450.7,921.8,109.2,69.3,11.6,91.5,223.5,393.2,53.1,73.2,4.2,4.8,1.6,6.7,52.9,33.9,13.2,60,7.7,0.2,6.7,15.2,3,2.9,73.8,91,40.2,6.7,67.1,9
1641.2,66.5,2238.7,2125,431.2,1048.3,93.1,68.1,13.7,96.7,250.4,313.1,60.3,77.7,4.1,3.2,5.6,8,54.4,37.9,12,78.7,8,0.2,5.9,15.6,6.7,2.7,67.9,106.7,42.5,11.1,72.9,7.1
1830.3,83.2,2531.9,2183.1,464.9,1029.2,108.9,64.8,13.5,96.7,271.1,306.1,58.9,97.4,3.7,4,1.5,8.4,65.2,34.9,8.9,51.6,8.4,0.6,24.4,21.7,3.8,2.3,78.5,106.3,51.2,9.5,93.7,6
1503.1,61.2,2276.1,1923.6,438.6,1055.5,108.4,64.2,11.7,126.9,235.1,277.6,43.2,70.7,5.5,3.3,2,6.8,65.8,33.1,8.9,58.3,6.5,0.6,45.8,11.8,4.1,2.3,93.8,98.7,37.7,9,96.1,8.8
1707.4,73,2417.4,2326.7,508.7,1202.4,101.3,71.2,13.5,147.7,295.6,351.3,61,83.1,9.7,5.2,3.9,8.7,76.6,45,12.3,70.2,8.4,1,45.7,16.2,4.7,1.9,87.9,125.1,47.8,13.9,63.3,8.8
1971.9,84.4,2780.3,2519.8,549.6,1361.4,109.9,79.5,22.4,131.3,343,378.9,65.7,82.9,4.8,5.5,1.8,6.8,82,50.8,12.7,73,9,0.8,49.8,19,4.8,2.9,104.9,91.4,43.3,9.4,102.7,15.5
1599.2,73.5,2387.5,2109.8,412.8,875.2,108.5,63.5,18.2,105.2,269.6,294.8,52,78.2,4.5,3.1,1.8,7.3,79.2,42.2,10.1,52.6,8,2.6,42.8,16.1,4.1,2,62.2,121.3,45,11.3,65.4,13.8
1939.9,81.2,2563.3,2411.1,506.9,1312.1,117.6,68.6,14.3,122.7,279.6,304.3,58.5,91.6,9,3.7,2.2,9.2,97.6,52.9,14.5,85.7,8.6,6.9,56.7,14.8,4.4,2.9,77.2,123.2,55.2,10.5,131.8,8.9
1739.2,72.7,2459.3,2171.7,503.7,1255.2,156.6,73.3,23.2,128.2,241.1,271.9,56.3,75.2,5.2,3.1,2.6,13.9,81.6,44.7,13.3,67.2,8.9,2,19.2,19.2,3.3,2.9,84.3,104.8,52.4,8.7,113.7,11.1
1564.2,54.8,2200.8,1960.3,505.5,1025.3,109.6,55.5,21.2,115.6,228.8,199.1,49.8,64.8,3.5,2.7,1.9,6.3,80.6,32.3,11.1,93,7.9,0.2,26.6,18,2.1,1.4,98.2,112.1,44,10.4,105.9,7.5
1380.5,73.9,2575.6,2082.6,357.5,1030.1,105.3,63.1,22,76,200.3,251.8,66,72.6,5.8,3.5,2.3,7.9,69.8,60.7,11.5,66.3,7.9,0.3,45.5,26.8,8.1,1.5,94.4,116.2,43.1,5.4,118.4,7.8
1815.7,88.5,2732.7,2309.8,496,1090,107.2,70.9,22.6,75.8,258.2,330.7,70.6,88.2,5.4,1.7,1.7,7.5,78.2,47.7,11.8,61.1,9.2,0.1,49.8,19.2,3.2,2.8,100.1,113.2,48.6,10.2,110,9
2005.4,88.5,2756.8,2345,495.2,1030.2,114.4,68.6,23,182.5,240,358.9,80,87.8,5.8,14.3,2.6,9.1,81.3,60.4,16.8,87.4,10.3,0.2,19.5,21,4,2.4,123.5,129.1,54.9,9.4,130.2,9.5
1958,82.4,3043.1,2505.4,466.3,1158.3,109.1,70.1,23.3,134.2,276.4,361.2,80.5,89.2,6.9,16.7,1.9,9.4,84.3,69.5,17,79.7,9,0.1,31.9,19.3,3.6,3.1,204.9,132.1,51.6,12.3,112.4,8.3
1977.1,84.2,3012,2247,463.8,1069.3,140.5,77.4,37.6,138.7,265.6,376.5,71.2,87.5,5.1,6.3,2.4,10.7,76.9,64,14.3,73.4,8,0.1,25.9,22,3.8,2.4,156.6,109.1,43.8,6.8,90,7.9
1955.2,77.4,2758.5,2261.7,484.9,1194.8,141.7,68.3,23.7,116.3,265.9,335.9,59.1,78.1,6.9,3,2.2,8.5,98,77,15.6,88.4,8.7,0.7,37.3,16.7,4.6,2.2,179.9,107.6,48.3,9.2,124.2,5.5
1803.5,86.4,2787.2,2353.9,499.8,1185.6,162.7,69.5,36.4,149.7,328.1,325.1,74.5,91.9,4.7,5.6,3.4,6.2,86.7,60.9,16.9,111.5,7.6,0.8,34.3,17.5,3.7,1.5,163.2,132.4,52.2,7.2,123.6,7.3
1999.5,99.8,2805.5,2655.1,583,1188,142.1,85.9,32.8,174.7,329.8,370.6,82.2,118.1,4.2,13.7,3.5,7.3,90.1,93.6,17.9,112,10.4,2.7,27.6,21.5,4.5,3.2,124.5,137,56.4,13,116.8,6.5
1814,87.2,2880,2261.9,446.6,967.4,145.4,65.9,22.8,140.1,255.3,327.7,71.7,86.5,9.4,3,1.9,7.8,82.7,81.1,17,100,7.5,5.3,25.4,26.9,3.6,3.4,112.2,119.4,52.7,10.2,120.1,4.8
1877.4,89.4,2806,2323.6,477.1,1120.2,130.3,76,16.8,219.2,332.8,325.1,64.1,90.4,7.9,8.9,4.1,7.2,87.4,77.5,18.9,99.5,8.1,3.8,32.8,37.2,4.7,2.5,181,122.9,54.1,11,108.9,5.6
2028.7,96.3,2717.3,2299.9,475.6,1177,146.9,77.7,17.5,154,287.7,311.5,65.6,90.5,6.1,2.8,2.2,9.2,84.5,67.9,17.6,98.4,7.9,3.7,24.8,17.4,4.7,2.8,127.3,125.9,64.1,7.8,110.2,5.1
1635.6,78.3,2380.9,1937.3,496.9,984.3,129.4,65.2,15.5,148,281,221.2,43.3,74.1,7.6,10.6,3,10,85.8,56.3,13.9,69.6,8.6,0.1,31.9,20.1,4.6,2.7,118.4,128.8,62.3,12,123.6,7.7
1531.5,82.9,2501.7,1960.1,370.8,860.1,113.6,65.9,10.9,120.6,199.2,284.6,55.5,77.2,6,5.5,16.1,8.5,73,54.8,14.6,66.5,6.1,0.2,28.4,16.3,3,1.9,132.5,111.8,52.1,4.9,102.5,5.3
2043.4,83.2,2562.6,2190.4,480.1,951.9,132.5,69,16.5,154.9,238.7,357.8,62.9,83.7,5.6,5.4,6.5,7.3,95.2,66,17.5,49.6,8.7,0.2,17.5,19.3,5.5,2.2,127.8,116.5,46.5,8.4,122.3,5
1918.4,106.9,2592.3,2338.6,517.5,1001.5,141.7,70.4,19.9,165.9,269.5,379.4,69,85.2,6.9,13,6.8,8.4,100.1,53.5,21.5,78.4,9.3,0.2,10.5,25.7,5.9,3.3,109.6,131.2,57.9,8.5,116.5,10
1903,90.8,2374.8,2264.1,460.7,970.5,139.1,72.6,13.9,180.2,275.9,363.5,66,84.8,7.2,8.7,1.6,12.3,84.4,58.3,19.1,102.3,7.9,0.1,17.5,23.5,5.1,3.5,136.6,124.4,52.7,6.3,126.1,5.5
1706.7,84.8,2461.1,2126,465.2,894.1,150.4,67.8,16.5,166.5,258.6,309.6,50,68.6,5.6,4.1,2.7,7.6,79.6,49.3,14.6,55,8.2,0.2,20.3,21,4.6,3.1,157.5,102.3,54.2,8.4,104.1,4.3
1748.1,87.2,2499.3,2106.6,440.3,976.5,151,72.5,20.1,121,282.6,330.3,73,70.8,7.5,2.4,4,7.5,92.4,46.4,15.1,79.6,7.7,0.6,24,14.7,4.7,2.7,187.1,92.9,54.9,4.7,90.9,8.3
1899.6,87.7,2483.4,2246,479.8,1058.8,127.6,63.7,14.8,125.2,284.8,295.2,67,75.1,7.1,6.1,2.2,7.5,88.8,52.6,16.3,68.5,8.3,1.1,18.2,21.7,4.6,2.2,89,108.2,51.8,9.2,104.1,9.9
1971,103.2,2687.4,2416.2,533.8,1275.6,166.8,74.1,19.3,177.3,318.6,354.7,78.6,85.7,5.8,6.7,2,7.5,98.1,50.4,17.3,73.4,8.9,1.2,19.3,20.5,4.8,3,84.6,125.1,49.6,7,110.6,5.2
1934.1,97.7,2702.5,2299.8,449.8,1068.6,153.5,69.5,14.9,150.4,297.4,352.5,69.8,81.7,5.6,15.4,2.4,13.1,89,68.6,18.7,91.6,8.1,2.1,15.8,20.9,4.9,2.4,89.6,121.9,58.9,9.7,117.7,6.5
1767.5,106.3,2628.6,2216.2,469.5,1193,152.2,80.3,14.5,161.7,312.5,340.4,71.9,71.2,7.8,7.6,3,6.5,93.4,79.1,20.7,75,6.9,8.1,13.8,16.3,4.4,2.9,107.6,124.4,66.1,15.5,158.5,6
1827.8,103.4,2517.7,2323.1,484.8,1226.1,159.9,66.7,11.6,131.6,269.1,330.1,69.8,81.7,6.9,4.5,5.3,7.9,97.8,64,18.6,77.2,7.4,3.7,27.6,16.3,4.4,2.3,92.1,115.8,53.4,9.9,115.9,6.7
1844.1,92.2,2404.2,2079.9,505.3,1067.3,130.4,74.4,32.7,126.9,252.8,206.5,62.2,65.4,8.5,2.7,2.2,8.9,85.3,59.1,17.1,60.6,6.4,0.1,33.4,20.3,3.8,4.5,93.9,104.8,58.7,9,109.4,8.1
1395.3,82,2371.8,2018.8,334.7,1000,162,66.4,7,72.1,213.4,252.1,69.7,84.7,7.1,5.4,1.9,10.3,93.3,44.6,17.3,50.9,5,0.2,24.7,19.3,3.8,2.1,78.5,96,49.9,5.5,119.8,6.6
1887.1,98.9,2682.4,2326.4,485.3,1077,183.7,72.6,17.5,149.2,267.8,362.1,78.9,100.6,7.9,2.8,4.4,7.3,102.1,60.3,19.4,78.1,6.7,0.1,30.5,17.2,3.4,2.5,70,106.4,41.3,6.3,135.1,6.5
2061.3,94.6,2853.3,2494.1,505.1,1124.4,166.9,83,13.8,143.7,309.2,381.3,81.4,82.9,7.8,2.9,5,11.3,120.8,68.7,25,75.3,6.6,0.3,29,21.2,2.6,2.9,142.7,121.3,63,23.5,161.8,10.9
1850.5,93.2,2486.4,2384.1,446.6,958.5,177.4,76.9,15.6,139.4,309.9,356.1,86.8,76.4,6,3.2,2.7,7.5,106.2,59.6,20.7,69,6.4,0.3,28.8,18.1,2.8,2.8,149.7,106.1,54.3,17.1,101.2,7.1
1905.4,136.7,2719.9,2232.2,464,1064.2,173.9,73.5,15.7,126.4,283.7,352.2,89.8,94.7,5.2,3.6,5.6,9.7,99.8,49.3,16.3,49.4,5.3,0.1,32.1,23,2.4,3.3,146.6,100.7,56.6,20.8,136.5,18.8
1963.6,105.7,2727.3,2221.5,456.5,976.4,114.1,73.2,24.4,111.5,284.9,303.4,76.3,77.7,6,2.3,2.4,7.9,93.1,51.4,16.9,70.3,5.5,0.3,28.4,16.3,3.9,2.1,109.1,91.1,67,11.6,144.4,8.2
1952.8,105.9,2664.3,2299.1,481.4,1162.6,226.9,73.9,15.7,129,309.6,325.8,69.3,86.6,6.3,4.6,2.3,11.3,87.4,55.8,20,75.2,5.4,0.6,34.7,20,2.8,2.2,112.1,99.6,56.7,8.3,146.6,9.9
2073.7,110.2,2953.6,2437.2,544,1166.9,159.5,110.3,15.9,148.2,350.6,362,84.4,81.8,6.1,4.4,2.6,11.7,95.7,62.5,24.1,71.7,5.7,0.7,29,22.4,2.9,2.3,161.2,109.3,66,10.4,136,11.3
1957.2,107.6,2520.3,2294.6,445.7,1202,147.6,67.7,12.5,113.5,290.2,331,102.2,79.9,6.6,5.9,7.3,16.7,85.5,63.6,24.1,66.3,5.4,3.5,19.8,20.5,2.7,1.5,87.2,123.6,64.1,8.1,173.5,9.1
1763.2,98.5,2441.7,2181.2,428.3,1080.2,145.3,92,8.3,116.7,318.9,323.1,83.4,75.1,7.4,6.6,2.1,9.1,94.8,61.4,18.8,74.7,5.5,6.9,17.9,15.5,2.2,2.7,91.9,117.8,59.3,6.2,148.2,6.8
1923.4,107.9,2521.2,2223.4,487.3,1196.6,158.1,69.8,11.1,127.7,316.9,329.7,79.7,93.5,5.9,5.9,5.3,9.6,110.7,71.5,24.3,64.9,7.9,8.1,37.6,19.4,1.7,3.4,85.7,113.7,65.5,11.1,146.2,9.4
