France,Luxembourg,Netherlands,Germany,Italy,United Kingdom,Ireland,Denmark,Greece,Portugal,Spain,Sweden,Finland,Austria,Malta,Estonia,Latvia,Lithuania,Poland,Czech Republic,Slovakia,Hungary,Slovenia,Cyprus,Bulgaria,Romania,Croatia,Iceland,Norway,Switzerland,Turkey,Ukraine,Russia,Other European countries
1933.4,270.2,1484.5,2160.9,571.4,925.1,48.8,93.8,66.4,92.5,334.7,168.7,50.2,103,3.1,3.1,3.8,5.7,75.5,44.9,10.8,30.1,11.8,3.8,3.8,11.9,7.6,2.1,46.3,176.3,74.7,13.3,89.5,20.2
1634.9,232.5,1323.6,1907.3,523.4,860.4,43.1,77.9,60.2,73.8,291,155.8,49.9,86.2,2.2,3.1,3.3,6.3,71.6,41.5,7,28.9,13.4,3.1,3.2,15.8,7.5,1.8,47.1,178.2,87.3,9.9,79.3,13.9
1682,243.2,1244,1611.6,425.9,724.9,39.4,79.8,53.6,74.9,268.8,109.8,44,81,1.5,2.2,2.6,6.3,51.5,29.8,7.1,22.7,11.8,2.7,3.2,15.2,6.7,1.9,31.7,138.9,78.8,9.3,82.7,14.9
1805.5,242.9,1253,1760.3,514.7,845.6,41.9,83.9,52,75.5,289.2,140.4,47.5,101.4,2.3,3.7,2.5,4.4,70.8,33.5,8,38,10.2,3.2,3.1,15,6.1,1.6,45.6,185.7,61.4,6.2,76.1,17.2
1811.7,242.5,1293.8,1859.5,495,894.2,44.7,83.1,57.1,79,327.5,143.7,54.5,104,1.8,4,3.7,5.5,72.3,33.4,8.8,36.7,10,4,4.1,9.5,6.9,2.2,38.7,192.1,77,12.7,92.9,16
1864.3,265,1456.4,2026.8,541.5,953.2,45.6,89.2,60,84.3,321.8,147.5,54.3,115.7,10.9,3.3,3.8,6.4,78.8,40.2,12.9,44.3,9.7,9.2,6.3,11.4,9.7,2,41,210.7,89,22.4,91,14.8
1930.8,252.5,1487.1,2062.5,560.4,947,49.3,114.5,62.2,83.3,319.9,171.3,84.7,120.7,2.9,3.8,4.3,7.3,89.7,51,11.8,42.4,9.5,7.9,6.5,12.1,7.7,2.3,45.1,200.6,86.1,16.9,89.8,13.8
1668.6,236.4,1344.5,1852,498,922.6,47.7,86.3,61.2,76.4,329.6,141.3,63.6,101,2.3,4,6.1,6,85.4,40.6,9.8,40,8.4,4.5,3.9,8.4,7.7,2.9,40.8,192,86.4,23.2,77.3,11.7
1926.7,243.9,1549.5,2110.2,555.2,1094.6,41.9,100.6,61.6,80.9,331.2,150.2,59.1,107.3,2.5,4,5,6.3,105.5,48.9,12.5,39.9,9.4,3.2,3.9,14.2,7.5,2.9,43.1,173.3,83.8,16.2,103.1,19.1
1752.2,240.8,1268.7,1927.3,504.9,1032.7,42.4,77.6,58.9,71.8,293.3,107.4,50.4,94.2,2.9,4.1,5.9,8.5,96.6,39.6,9.6,39.2,9.7,4.6,5,10.9,8.9,2.5,34.4,182.1,95,13.5,119.2,15.9
1367,183.9,1248.7,1822.6,317.9,749.7,40.1,87.9,48.1,54,219.1,140.9,51.9,95.7,2.5,4.1,4.8,6.9,80.3,38,9.8,40.9,6.9,4,4,10,6.6,2.4,40.7,140.5,94.3,10,100.6,14.5
2005.9,238,1616.9,2178.5,613.9,1065.9,50.9,107.4,65.4,86,350.1,171.2,61.9,122.7,3,4.5,7.3,5.9,100.3,46.2,11.5,59.1,12.3,4.6,5.4,13.5,8.7,2.9,47,182,113.4,14.9,120.6,16
2073.9,264.6,1604.8,2131.8,625.5,1071.7,50.5,104.2,68.2,87.5,369.4,179.7,59.2,111.2,3.2,5.1,18.4,8.1,113.1,52.7,11.9,54.2,11.5,5.1,7.6,13.6,8.6,4.2,52.6,174.7,118.7,15.4,162,16.4
1720.3,246.7,1405,1896.9,554.5,952.3,47.2,88.7,62.1,81,325,156.4,52.1,96.1,3.1,7.1,8.8,7.6,99.9,42.1,10.3,53.5,8,3.7,6.6,15,8.3,2.3,44.6,161.3,90.4,15.4,124.8,18.8
1854.7,250.5,1432.8,1738.4,503.1,846.2,52.7,86.6,57.3,73.6,308.4,149.3,49.1,91.1,2.6,3.7,6.4,7.3,81.9,40.6,9,43.5,7.6,4,7.9,18.6,12.2,2.7,58.3,147.3,86,14.6,127.2,20.6
1892.9,214.9,1418.7,1866.3,594.6,940.2,46.7,93.7,60,85.1,318.8,161.7,60,96.1,3.1,3.1,6.9,6.1,90.2,35.8,9.2,53.9,9,3,6.8,12,5.7,2.3,48.2,171.7,81.8,10.3,112.6,11
1875.4,219.2,1432.3,1912.3,601.3,951.7,56.3,94.8,64.9,94.4,363.7,169,57.7,111.3,4.3,3.8,3.9,8.8,83.9,40.9,13,60.6,10.9,4,7.3,10.7,8,2.8,41.9,197.5,81,16.8,126.5,14.4
2128.3,269.1,1613.1,2218.4,659.6,1044.8,61.4,110,77,101,380.1,187.5,65.1,127.1,3.1,4.5,6.1,9.3,94.9,49.2,13,69.4,10,4.2,8.7,13.4,11.7,3.4,56.5,194.5,97.4,20.5,127,19.8
1967.1,251,1530.5,2162.9,578.4,1006.9,51.2,91,59.2,91.1,355.7,174.9,60.8,117.2,3.6,4.7,5.2,8.5,103.9,51.2,16.3,59.3,10.8,4.6,9.6,15.1,10.9,2.1,49.8,215.5,97.8,15.6,108.6,13.9
1790.4,226,1398.7,2026.3,567.6,942.8,58,87.9,66.9,92.6,372,157.1,59.3,112.4,2.6,4.7,5.8,8.4,96.4,40.8,16.2,68.3,9.4,3.6,7.7,15.2,10.1,2.6,54.9,176.7,92.8,12.6,87.3,17.5
2070.2,253.5,1602.6,2280.1,652,1168.2,52.1,111.6,76.3,113.8,403.9,178.1,64.6,131.2,2.8,4.5,7.3,8.6,115.8,48.1,13,68.1,9.5,10.7,9.6,17.3,10.4,3.6,57.7,203.8,103.1,18,107.3,20.1
1870.3,228.8,1342.5,1994.6,542.8,1013.8,44.6,84.9,67.2,93,335.9,113.4,51.1,110.6,7.8,5.6,6.4,9.5,97.3,41,11.7,55.4,7.4,3.7,8.5,13.7,12.1,2.8,41.1,183.4,99.6,14.9,96.5,17.1
1437.3,197.4,1172.8,1797.5,346.7,783.8,43.7,94.2,56,70.3,243.8,145.2,48.7,97.1,2,4.2,6.4,5.7,89.8,34.2,11.9,62.7,5.9,3.4,6.1,10.4,9.8,2.3,42,144.5,63.6,14.2,70.5,11.1
2112.5,259.2,1580.2,2185.2,665.3,1006.8,59.6,108.7,72,105.9,404.2,193.4,57.1,128.1,2.5,5.1,4.5,8,116.3,43.6,13.2,77.2,10,5.6,6.8,17.1,10.4,3.2,52.1,181.7,90.7,8.9,21.8,13.8
2072.1,244.4,1587.8,2073.9,627.3,914,70.8,102.8,67.5,103.6,435.3,190,61.1,125.6,2.8,4.5,5.5,7.1,115,46.9,14.4,91.5,9.1,5.1,9.1,15.9,10.4,4.3,51.1,172.1,89.8,8.3,32.9,18.7
1906.1,232.1,1414.3,1917.7,596.4,876.1,65.7,98.7,65.7,100.6,408.6,183.8,53.1,109.5,3.6,3.4,4.5,8.6,95.3,38.3,21,87.7,8.3,4.3,6.4,18.7,11.1,3.5,56.1,186.6,85,8.8,30.5,15.2
1786.9,250.1,1576.2,1775.2,507.8,1061,57,93.7,65.6,93.2,381.1,162.8,53.8,105.4,2.3,2.9,3.5,7.6,88.6,35.8,13.9,69.6,7.1,7.3,7.5,13.2,9.2,2.8,51.5,163.3,76.7,9.5,44.5,13.9
1815.5,229.2,1329.7,1741.8,553.2,849,55.2,89.1,65,99.4,394.1,140.6,53.9,99,2.8,3.3,2.4,6.4,93.9,34.9,13.8,62.3,7.7,3.2,4.1,9,9,2.3,48.1,135.2,50.9,6.1,24.8,8.3
1854.2,230,1318.9,1765.4,558.3,879.7,53.1,89.3,74.4,95.1,411.7,156.6,49.7,104.9,3.6,4.3,4,5.7,82.1,40.2,11.8,72.7,7.1,4.5,4.9,10.6,8.7,2.9,47.8,155.5,67.4,9.3,37,11.3
2173.7,296.6,1652.6,2170.1,637.5,1085,64.1,108.5,77.6,111.8,455.1,196,62.5,129.6,4.4,3.3,5.5,7.5,99,46.4,14.6,65.8,8.5,9.3,8.9,13,11.7,3.6,47.3,176,70.9,12,42.4,12.9
1909.7,257.8,1495.9,1960.6,586.8,942.1,55.6,96.8,70.9,101.8,416.7,184.6,54.8,112.7,4,4.3,3.4,8.3,99.4,41.9,16.2,56,9.7,4.1,8.6,11.5,11.4,2.8,55.1,188.8,78.9,8.7,44.2,12.8
1855.8,238.6,1404,1799,539.1,862.5,60.7,90.9,73.6,86.4,395.5,154.3,56.9,107.3,4.5,3.4,4.8,7,106.3,39.1,14.9,59,7.6,4.1,10.2,13.1,7.2,2.7,48.4,135.2,86.4,10.4,39.6,10.3
2142.6,263.6,1630.6,2073.1,602.9,1041.5,60.7,109.7,73.4,107.5,457.9,183.5,63.4,120.4,5.3,4.1,7.2,8.7,106,47.1,16.1,73.7,12,8.6,11.3,12.9,9.6,3.8,54.2,170.9,93.4,12.9,39.9,18.9
1847.2,236.4,1327.3,1711.4,525.7,958.4,55.4,83.8,56.8,82.7,402.4,138.9,46.7,109.3,3.5,3.9,7.7,6.9,101.5,43.3,8.1,61.6,8.2,3.4,5.9,13,9.3,3.3,40.9,172.1,68.2,11.7,46.6,14.8
1577,216.1,1274,1796.3,335.1,961.9,44.6,99.8,60.3,75.5,339.6,146.3,54.3,106.1,3,4,3.7,9.3,105.9,39.9,12.3,68.1,8.2,4.2,4.1,10.5,8.6,2.4,44.9,148.6,68,9,41.3,14.6
2119.1,261.1,1674.1,2235.4,663.9,1094.9,203.4,107.9,77.1,116,511.4,196.2,57.3,132.1,4.4,4.9,4.9,10.8,112.1,49.4,14.5,69.9,11,9.2,5.7,15.8,9.4,9.7,50.6,181,97.4,13.5,47,15.1
2159.1,281.9,1605.1,2104.8,648.7,1110.3,65,124.1,87.6,107.3,512.8,204.9,64.8,127.3,3.9,6.1,7.2,8.1,120.9,47.8,15.7,77,11.1,4.6,5.7,16.1,8.1,4.5,50,189.6,89.4,16.5,52.5,16
2100.6,291.7,1593.8,2049,657.7,1112.8,72.8,118.4,79.6,104.7,495.4,217.5,59.9,121.8,4.1,3.7,8.4,7.9,120.2,51,15.7,77.4,11.4,6.5,7.6,22,9.3,3.8,49.5,169.5,82.3,11.8,49.6,13.8
2127.5,325.8,1590.3,2002.2,616,1005.3,60.5,97,71.4,90.1,436.9,175.4,61.7,116.8,4,4.1,5,8.1,100.9,44.6,13.4,56.2,13.1,5.5,7.5,17.3,7.3,3.1,50,194.7,96.6,17.1,53.6,16
1998.2,291.4,1451.8,1807.2,624.1,996.2,61.4,98.5,60.9,96.8,406.6,189.8,62.1,99.1,3.5,2.7,3.9,6.8,98,41.9,13.5,70.7,9.7,5.9,4.8,11.1,5.8,3.2,45,180.4,86.7,11,40.2,10.3
2250.1,336.2,1600.7,2072.6,689,1134.5,69.6,106.1,82.9,106.2,496.4,212.3,72.1,128.4,4,4.3,3.9,6.7,105.9,49.3,13.2,78.5,10.6,5.5,6.7,11.7,8.6,3.9,49.8,217.4,88.8,10.8,49.6,13.6
2435.5,358.8,1848.9,2392.5,759.4,1345,93.3,115.9,96,122.2,564.9,229,81.7,137.6,4.6,4.4,5.7,8.7,119.8,56.4,18.7,90.2,12,8.4,7.8,16.5,10,2.9,54.8,283,113.4,15.1,55.2,19.4
2114.3,303,1651,2061,652.9,1108.9,83.9,95.6,75,104.1,473.7,193,67.7,119.2,3.5,5.2,3.9,9,101.8,52.3,15.5,69.5,12.3,6.6,6.7,17.5,8.8,5.6,44.5,161.3,116.5,11.9,59,11.2
2388.1,333.5,1853.8,2359.7,775.6,1330.1,88.6,123.6,91.5,126.8,568.5,215.2,74.2,123.8,6.6,5.6,5.7,10.5,128.7,63.8,17.7,70.6,13.5,9,6.8,21.1,11.4,4.1,70.3,240.7,125.7,15.6,68.9,19.5
2279.5,299.6,1716.4,2142.4,709.7,1189.5,89.5,106.4,95.5,113.3,480.7,171.6,62.2,112.9,3.9,5.4,4.8,8.9,118.1,63.4,19.5,70.7,12,7.1,9,20.6,9.3,4.4,48.6,204.9,105.1,16.2,86,15.5
2073.5,270.4,1390.5,2051.2,705.7,1135.3,74.7,86.8,86.4,94.2,444.5,155.7,50.7,109.3,3,4.7,5.2,8,106.3,52.5,14.6,58.8,10.1,5.8,6.5,18.8,9.5,3,35.2,175.2,122.1,12.5,71.6,18.6
1808.8,257.4,1546.8,2046.1,464.6,1088.4,67.4,111.7,68.7,84,327.2,176.6,56.8,109.8,3.2,4.7,4.9,7.6,111.8,68.6,16.7,65.6,10.1,5.5,8.1,19.5,8,4.9,43.9,182,128.8,13,65.6,15.3
2364.3,321,1880.3,2514.3,752.5,1190.3,92.7,123.1,102.8,110.5,476.8,217.6,64.8,138.8,3.7,5.2,6.8,11.9,124.4,71.3,17.2,76.2,11.8,9.1,8.6,18.9,10.7,6,48.8,211.4,154.6,18.9,72.4,17.1
2655,345.3,2152,2371.9,783.3,1271.4,100.8,125.3,99.5,134.3,514.8,208.6,71.2,133,10.9,5.9,5.8,9.1,138,88.6,22.6,78.9,11.8,8.5,11.7,21.4,13.2,3.9,62.3,231.8,163.5,18.6,92.6,18.2
2454.9,313.7,1830.1,2354.5,663,1320.8,110.7,123.1,100.1,126.8,501.1,221.1,68.7,122.3,4.5,7.3,6.6,12.5,124,68.4,19.6,70.7,15,14.8,11.2,27.5,12.4,4.8,52,228.3,148.9,21.8,91.7,14.4
2201.7,305.3,1671.8,2092.9,657.1,1204.1,105.7,104.6,78.1,108.4,477.4,205.9,61.8,129.3,3.4,5.4,4.7,10,107.7,53.9,17.4,56,10.4,7.6,7.7,18.4,11.2,3.3,45.1,169.9,104.7,18.6,83.4,16.1
2444.7,322.4,1765.4,2349.4,747.1,1307.9,122.3,117.4,74.8,115.8,512.6,188.6,74.4,135.5,3.7,5.2,4.4,8.7,109.5,102.2,18.3,78.1,12.1,6,7.6,16.9,10.2,2.8,48.9,211.2,81.7,13.8,55.3,13.7
2357,330.3,1646.3,2383.7,765.3,1244.7,126.3,107.3,85.9,108.7,531.3,191.4,77.9,132.8,4.4,5.7,4.5,8.3,109.5,78.8,21,65.1,12.8,7.2,7.3,19.2,10,4.1,46,226.3,70.5,15.2,66.7,19
2513.6,382,1913.2,2716.6,866.8,1422.4,128.7,127.4,107.8,125,639.2,197.1,85.8,149.1,5.1,5,6.2,11.3,132.6,84.3,24.8,89.2,13.3,8.5,11.8,20.9,14.5,3.8,50.1,295,74.1,20.7,90.7,20.1
2254.2,320.4,1667.7,2307.7,699,1118.6,119,106.8,85.8,95.6,496.9,165.3,63,136.1,3,5.1,6,10.6,125.6,77.7,22,71.2,12.4,6.2,9.2,22.5,14,3.4,41.2,173,59.3,19.3,77.7,15.4
2382.2,332.2,1777,2458.7,757.5,1298.4,93.2,112.9,94.5,114.4,552.2,230.4,77.8,137.9,4.6,5.9,6.8,14.7,134.8,68,21.8,62.9,13.5,9,9.9,23.1,16.9,3.6,50,213.6,71.6,19.5,93.9,19
2421.3,341.4,1861.7,2326.2,741.2,1304.8,101.6,113.2,93.9,118.1,597.3,189.2,66.5,127.4,5.5,5.8,7.8,14.2,134.7,85.1,21.2,66.9,14.2,9.4,11.6,30.9,11.6,2.7,53.8,215.2,71.3,21.7,92.1,23.8
2230.7,300.9,1491.3,2206.1,701.5,1221.1,74.3,95.7,74.5,94,528.1,127.6,56.8,113.3,3.8,6,7.5,12.9,138.4,71.6,18.7,67.5,11.4,5.5,10.1,26.9,12.3,4.4,47.5,200.5,72.7,18.1,93.2,16.8
1779.7,282.1,1583.1,2160.5,485.5,1152.3,72.2,113.8,65,78.7,364.9,153.5,64.9,111.7,3.6,5.5,5.9,10.6,114.9,63.8,18.1,61.2,10.3,5.5,10.8,25,10.9,3.8,42.7,168.7,68.9,18.2,79.6,21.7
2303.5,289.3,1724.6,2335.9,776.5,1305.5,75.8,106.8,81.2,98.8,534.7,171,66.7,138.2,4.4,6.6,6.3,13.1,129.9,69.4,22.4,57,14,5.7,11.3,25.5,13.8,3.3,43.2,221.4,67,18.8,93.1,19.9
2432,326,1880,2490.1,826.7,1333.2,84.4,123.9,95.6,107.9,559.4,190.8,68.8,150.4,4.7,7.8,6.2,15.7,135.4,84.2,23.5,58.7,14.7,9.5,15.1,34.9,13.5,4.6,50.5,226.3,79,22.1,112.1,30.7
2219,297,1742.7,2259.5,766.2,1243.9,96.5,106.6,74.2,98.7,487.5,172.8,67.5,137.1,11.9,6.6,9,13.1,135.1,70.8,22.3,69,13.4,7,10.6,45.3,12.1,3.4,42.7,203.7,68.1,29.1,106.5,25.9
1910.1,279.2,1546.7,1980.4,590,996.9,92.7,86.6,82.4,88.8,424.5,192.9,49.1,109.6,3.1,5.3,5.2,9.4,108,56.9,16.3,42.6,10.7,5.2,6.8,20.6,8.7,1.8,33.1,144.7,63.3,24.9,95.7,20.8
2203.2,306.9,1708.8,2162.7,773.6,1307.1,86.8,105.9,70.6,106.3,509.6,180.7,64.7,134.3,4.3,5.4,5,11.1,127.5,68.3,20.1,64,16.3,4.9,8.4,18.4,11.5,2.9,42.7,182.8,76.7,22.4,76.5,15.8
2183.6,309.4,1621.6,2132.8,732.8,1389.1,90.2,99.9,78.2,94.8,477.8,169.9,66.4,125.1,8.9,6.9,5.4,10.7,127.6,66.9,19.9,68.7,11.3,5.6,8.5,19.7,10.7,2.5,44.6,178,80.3,24.6,93.3,19.4
2424.2,348.8,1879.9,2337.4,839.3,1562,124.3,119,88.4,108.8,522,190.2,69,146.3,5.3,7.3,5.9,12.5,152,76.1,25.3,67.9,15.8,8.8,8.9,24.6,15.1,2.4,50,245.2,94.4,27,91.3,18.4
2421.5,333.9,1851.5,2309.2,757.9,1323.7,108.7,109.2,85.3,95.3,505.9,198,69.1,146.6,3.8,7.5,7.7,16,156,95.4,26.5,63.4,14.1,6.7,9.7,28.3,15.4,2.7,56.8,118.6,88.4,24.4,90.9,18.8
2258.3,304.4,1860.9,2285.3,785.2,1329.3,98.8,113.2,86.4,105.7,541.8,202.9,70.7,146.7,4.3,8.7,7.3,17.3,161.4,92.3,23.4,71.9,13.6,7.4,10.9,29.4,16,3,54.4,174.7,107.9,24.1,111.3,19.3
2335.2,310.1,1804.9,2382.5,720.4,1204.7,82,119.3,82.5,91,519,179.7,71.9,142.9,4.3,6.6,7.8,13.9,137.8,83.5,27,63.4,16.5,6.5,12.4,31,12.5,2.8,52.5,197.2,97.9,20.4,88.1,21.2
2244,333,1607.5,2315,692,1307.8,78.4,99.7,88,83.3,497.7,142.6,58,130,4.3,8.7,7.4,14.5,136.5,79.3,20.7,66.8,14.7,7.1,11.9,32.3,14.9,2.8,41.9,182,114.5,24.5,88.2,22.3
1730.3,274.9,1585.5,1993.4,454.4,1134.2,76.6,100.7,71.4,64.9,362.2,179.6,64.3,112.4,3.3,5,5.9,9,130.3,70.5,19.2,72.5,12.9,6.8,7.1,26.5,10.2,2.5,42.5,143.5,68.6,23.7,75.2,18.7
2430.4,317.3,1863.3,2334.5,782.7,1401.3,89.1,113.6,94.9,103.2,565.2,193.8,69.8,147.4,3.8,8.3,7.2,13.3,147.4,81.1,24.9,62.8,14.8,6.9,9.4,31.9,13.1,2.8,56.2,182.3,116.9,19.7,94.2,18.1
2607,341.4,1995.8,2628.7,840.9,1427.5,141.9,118.7,97.3,100.3,590.7,219.6,77.6,151.4,5.2,9.9,11.1,15.1,156.9,99.1,31.3,85,16.7,7.3,12.7,31.6,18.6,3.2,55.3,185.8,126.2,23,104.5,24.6
2302.3,316.8,1727.3,2321.5,752.6,1243.4,112.5,112.3,82.5,92.8,527.2,210.4,66.6,144.3,4.4,7.6,8.8,15.5,137.4,81.9,31.4,68,13.4,6.7,10.9,27.7,15.8,2.8,46.1,184.4,112.8,33.1,93.9,20.8
2125.2,343.8,1680.2,1926,689.8,1055,82,95.9,76.3,80.1,467.2,171.1,60.2,123.1,6.4,5.8,5.9,11.5,111.1,58.8,26.2,52.9,9.4,5.9,7.9,24,11,2.8,38.3,145.8,100.4,21.6,82.3,23.6
2367.9,317,1755.1,2116.6,729.2,1166.6,93.1,101.3,80.5,82.9,451.4,187.4,74.7,126.9,7.2,7.2,5.6,11.5,128.6,74.9,25.4,64,13.9,5.8,10.7,24,11.7,2.4,47.7,172.1,106.8,16,81.1,18
2271.3,332.3,1706.9,2236.2,724.4,1145.6,95.2,107.4,81.7,87,482,189.5,69.7,137.1,5.2,8.2,7,12.2,130.1,74.6,30.3,69.9,13.9,6.2,8.8,25.5,12.8,2.5,44.1,171.4,96.5,24.7,93.9,16.4
2505.9,376.6,1870.4,2502.5,793.8,1239.6,105.8,128.3,87.7,94.5,565.1,208.3,82.5,152.7,6,6.5,6.8,12.8,135.3,82.3,28.6,89.8,14.4,7,12.2,32.5,14.3,3.5,51.9,252.6,114,25,95.8,18.4
2433.9,357.4,1803.4,2499.3,727.1,1179.1,87.8,106.3,80.9,84,516.6,245.2,77.9,151.4,5.7,6.9,6.2,15.2,145.4,86.5,27.3,91,16,6.2,14.9,32.4,16.9,3.2,52,164.8,107.2,24.8,89.6,20.4
2272.7,310,1714.1,2388.9,754.5,1115.6,83.2,108.8,77.8,83.3,530.7,202.7,75.2,145.9,4.3,7.7,6.5,13.3,138.5,72,27.1,97.9,15.9,6.4,12.9,31.8,13.5,3.4,54.4,163.2,106.2,20.8,86.6,19.3
2520.2,317.2,1749.4,2495.3,761.4,1230.9,72.3,111.9,85.4,92.1,562.8,203,69,141.5,4.5,8.5,5.8,13.9,141.9,89.3,26.2,97.7,17.4,5.7,13,30.5,15,3.8,46.4,178.7,104.1,21.5,85.8,23.1
2248.8,290.3,1586.7,2377.1,693.4,1208.2,63,99,76.5,85.3,532,136.8,62.9,153.3,3.7,8.7,6.6,14.5,151.8,80.3,24,91.3,17.1,5.5,11.8,30.8,13.4,3.7,41,161.8,118.7,28.8,97.7,21.4
